RISK:, , , ,,,,,,,, , , ,, ,,,,
GHG Emissions, , , ,,,,,,,, , , ,, ,,,,
 , , , ,, , , , , , , , , ,, ,,,,
Index, ,CO? Emissions (Mt CO2)/2022,,,CO? Emissions (Mt CO2)/2023,, ,Methane emissions,, , , , ,, ,,,,
 , , , ,, , , , , , , , , ,, ,,,,
Organisation, ,IEA,,,World Population Review,, ,World Population Review,, , , , ,, ,,,,
Link, ,https://www.iea.org/countries                          (fuel emission),,,https://worldpopulationreview.com/country-rankings/co2-emissions-by-country,, ,https://worldpopulationreview.com/country-rankings/freedom-index-by-country,, , , , ,, ,,,,
Data last updated, ,Data presumed to be from 2022. Last checked May 2025.,,,Data presumed to be from 2023. Last checked May 2025.,, ,Data from 2022. Last checked November 2024.,, , , , ,, ,,,,
Scale, ,1-100,,,1-100,, ,10-Jan,, , , , ,, ,,,,
 , , , ,, , , , ,, , , , ,, ,,,,
Country, ,Raw data,Converted data,,Raw data,Converted data, ,Raw data,Converted data, , ,Average, ,Traffic light scoring, ,,,,
Afghanistan, , , ,,9,1.01,,18683936,1.03, , ,1.02, , , ,,,,
Albania, , , ,,5,1,,2439716.2,1, , ,1.00, , , ,,,,
Algeria, , , ,,180,1.12,,95451310,1.16, , ,1.14, , , ,,,,
Andorra, , , ,,28,1.02,,81499.98,1, , ,1.01, , , ,,,,
Angola, , , ,,0,1,,50539908,1.08, , ,1.04, , , ,,,,
Antigua and Barbuda, , , ,,0,1,,67517.36,1, , ,1.00, , , ,,,,
Argentina, , , ,,184,1.12,,128233790,1.21, , ,1.17, , , ,,,,
Armenia, , , ,,8,1.01,,1435784,1, , ,1.01, , , ,,,,
Australia, , , ,,374,1.25,,5459430400,10, , ,5.63, , , ,,,,
Austria, , , ,,59,1.04,,9845153,1.02, , ,1.03, , , ,,,,
Azerbaijan, , , ,,43,1.03,,25460438,1.04, , ,1.04, , , ,,,,
Bahamas, , , ,,2,1,,394756.9,1, , ,1.00, , , ,,,,
Bahrain, , , ,,37,1.03,,30203160,1.05, , ,1.04, , , ,,,,
Bangladesh, , , ,,125,1.08,,111981800,1.18, , ,1.13, , , ,,,,
Barbados, , , ,,1,1,,212712.28,1, , ,1.00, , , ,,,,
